chroma_means_0,chroma_means_1,chroma_means_10,chroma_means_11,chroma_means_2,chroma_means_3,chroma_means_4,chroma_means_5,chroma_means_6,chroma_means_7,chroma_means_8,chroma_means_9,contrast_means_0,contrast_means_1,contrast_means_2,contrast_means_3,contrast_means_4,contrast_means_5,contrast_means_6,duration_sec,dynamic_range,filename,filesize_mb,mfcc_means_0,mfcc_means_1,mfcc_means_10,mfcc_means_11,mfcc_means_12,mfcc_means_2,mfcc_means_3,mfcc_means_4,mfcc_means_5,mfcc_means_6,mfcc_means_7,mfcc_means_8,mfcc_means_9,rms_mean,rms_std,sample_rate,session,spectral_bandwidth_mean,spectral_centroid_mean,spectral_centroid_std,spectral_flatness_mean,spectral_rolloff_mean,tempo_bpm,zero_crossing_rate_mean
0.29,0.24,0.391,0.44,0.273,0.282,0.371,0.277,0.27,0.307,0.371,0.472,21.859,19.99,21.184,19.112,18.508,17.298,43.93,135.93,0.2258,43-the-chip-that-sang.mp3,4.16,-252.87,77.92,0.85,3.06,-8.04,39.38,15.8,15.47,2.95,3.28,-5.52,2.62,3.79,0.1044,0.0702,22050,music,2596.8,2269.1,1561.8,0.0231,4887.6,95.7,0.0829
0.341,0.332,0.405,0.379,0.378,0.377,0.473,0.398,0.302,0.318,0.347,0.459,22.294,18.206,21.182,20.449,18.1,16.981,44.378,197.14,0.2262,44-the-cron-and-the-mirror-m3.mp3,6.03,-188.92,80.24,-2.2,0.84,-5.6,30.01,27.49,-2.6,7.67,3.72,5.15,2.71,0.58,0.1298,0.0666,22050,music,2452.1,2287.9,1334.0,0.0175,4920.4,184.6,0.0792
0.328,0.31,0.433,0.368,0.386,0.371,0.451,0.343,0.259,0.289,0.378,0.539,24.143,17.711,19.595,18.596,17.345,17.315,46.947,124.96,0.17,45-the-cron-and-the-mirror-glm.mp3,3.82,-245.74,87.67,4.46,0.12,-5.89,50.11,32.86,4.13,14.25,-0.06,8.0,-2.76,1.74,0.1063,0.0541,22050,music,2297.0,1952.5,1334.4,0.0139,4185.7,136.0,0.0666
0.33,0.398,0.222,0.25,0.571,0.39,0.284,0.289,0.246,0.259,0.281,0.379,21.511,19.159,20.477,19.922,18.148,19.075,45.438,114.3,0.2026,46-the-foghorn-keeper.mp3,3.49,-196.78,102.34,0.51,2.74,-5.53,3.19,15.79,7.46,-1.87,14.47,6.37,9.89,-2.61,0.1112,0.065,22050,music,2213.2,1815.7,987.7,0.0131,3724.7,152.0,0.0716
0.394,0.191,0.157,0.306,0.239,0.159,0.266,0.176,0.175,0.331,0.207,0.258,21.967,19.417,26.009,25.505,21.555,22.827,43.563,129.76,0.1843,47-the-pixel-in-the-cathedral.mp3,3.97,-231.32,78.96,-6.81,-2.34,-11.95,-6.83,38.08,-9.04,-8.37,12.33,-10.72,4.5,-8.27,0.1032,0.0581,22050,music,2081.2,2090.6,991.4,0.0071,4071.3,184.6,0.0953
0.462,0.352,0.46,0.585,0.331,0.342,0.382,0.391,0.424,0.383,0.357,0.397,22.663,15.518,18.469,18.21,17.312,17.467,45.286,136.53,0.2615,48-the-gc-collects-itself.mp3,4.17,-196.32,97.94,-3.29,0.58,-1.6,23.32,26.44,-4.42,1.51,-1.66,1.26,-5.36,-1.31,0.1334,0.0745,22050,music,2170.4,1856.3,1165.8,0.0154,3847.3,95.7,0.067
0.291,0.275,0.363,0.291,0.321,0.302,0.354,0.358,0.258,0.264,0.329,0.424,23.161,20.925,22.217,20.125,18.737,17.181,45.182,199.38,0.4884,49-the-tensor-dub-techno-cover.mp3,6.09,-198.26,66.45,-2.89,-0.82,-8.08,17.4,34.52,6.05,5.74,-4.06,0.81,-0.86,-7.03,0.2204,0.146,22050,music,2171.2,1889.3,1313.4,0.0103,3746.1,152.0,0.0697
0.327,0.49,0.483,0.306,0.355,0.443,0.332,0.468,0.544,0.373,0.453,0.394,19.671,14.284,19.277,20.772,19.18,18.503,42.453,176.55,0.2596,50-seed-test-a.mp3,5.4,-233.66,133.5,2.31,2.73,0.16,33.87,23.56,7.49,6.39,3.73,4.97,3.75,2.66,0.1101,0.0732,22050,music,1698.1,1334.5,1052.7,0.0068,2840.6,99.4,0.0487
0.23,0.274,0.413,0.264,0.403,0.333,0.336,0.505,0.294,0.234,0.254,0.376,20.143,16.532,20.113,18.68,16.471,15.241,43.979,159.05,0.3339,51-seed-test-b.mp3,4.86,-243.01,36.6,-2.45,2.43,-2.21,43.89,31.6,-1.56,1.36,1.89,4.32,-3.52,3.73,0.1025,0.1026,22050,music,2668.2,2905.1,1718.0,0.0397,5688.8,129.2,0.1065
0.394,0.312,0.324,0.377,0.358,0.353,0.424,0.324,0.278,0.31,0.293,0.347,22.274,18.601,21.291,19.07,17.564,16.332,42.814,255.54,0.2454,52-the-unused-variable-structured.mp3,7.81,-226.68,74.92,6.04,-0.29,-0.41,30.96,23.36,20.09,11.07,4.89,11.08,-2.11,5.29,0.1266,0.0758,22050,music,2608.5,2147.3,1280.5,0.0147,4742.2,161.5,0.0638
0.357,0.319,0.297,0.299,0.408,0.352,0.415,0.275,0.217,0.269,0.337,0.471,24.385,19.692,21.844,20.67,18.955,19.021,47.137,159.85,0.1967,53-the-unused-variable-freeverse.mp3,4.89,-211.56,97.6,-2.19,-4.95,-12.04,23.11,51.0,-10.32,13.63,-2.71,0.91,5.07,-2.14,0.1077,0.062,22050,music,2102.0,1821.1,999.3,0.0093,4010.9,107.7,0.0693
0.3,0.385,0.301,0.265,0.576,0.488,0.306,0.289,0.249,0.26,0.305,0.364,23.282,18.259,21.166,20.652,18.911,18.982,45.342,159.64,0.2856,55-the-load-balancer.mp3,4.88,-222.59,69.23,5.49,2.66,6.82,15.38,22.12,3.0,-0.97,4.69,9.38,-7.42,7.46,0.1195,0.081,22050,music,2427.4,2213.2,1216.0,0.016,4573.5,86.1,0.0809
0.308,0.267,0.349,0.26,0.337,0.274,0.295,0.208,0.187,0.278,0.339,0.518,22.575,20.596,22.09,20.745,18.328,17.161,46.566,139.82,0.2134,56-the-seed-structured.mp3,4.27,-180.92,64.16,-2.71,-2.07,-8.01,20.31,36.4,19.78,13.38,16.37,6.06,4.03,1.49,0.1192,0.0627,22050,music,2764.7,2493.1,1007.2,0.015,5656.3,76.0,0.0824
0.302,0.291,0.317,0.274,0.333,0.388,0.525,0.335,0.252,0.267,0.358,0.458,23.964,19.373,20.188,21.183,19.493,21.593,44.979,107.61,0.19,57-the-seed-freeverse.mp3,3.29,-299.19,113.77,-1.71,-4.72,0.83,22.6,29.88,20.16,9.57,19.19,2.58,-3.29,3.92,0.0813,0.0619,22050,music,1677.2,1182.4,925.2,0.005,2237.4,92.3,0.04
0.484,0.417,0.161,0.218,0.281,0.309,0.317,0.559,0.323,0.22,0.354,0.239,22.801,16.837,17.51,16.847,15.214,16.682,43.518,136.53,0.35,58-seed-test-c.mp3,4.17,-198.33,108.02,-4.17,-0.21,-4.55,24.24,28.71,-2.66,-2.61,4.6,-2.21,-4.17,-2.22,0.1293,0.0998,22050,music,2037.0,1636.6,1101.7,0.0174,3358.0,89.1,0.0517
0.284,0.26,0.354,0.436,0.351,0.369,0.449,0.397,0.349,0.328,0.261,0.266,23.962,19.047,20.103,18.734,16.975,17.193,45.255,221.48,0.2514,59-astral-drone-folk.mp3,6.77,-227.47,85.01,1.67,-5.19,-2.51,29.27,23.13,8.22,0.96,-1.0,5.21,-5.31,-0.86,0.1043,0.0796,22050,music,2543.5,2036.0,1021.1,0.0155,4397.3,64.6,0.0704
